Time,Dataset,TypeDataset,IR,Repetition,SmoteMin,SmoteMax,Filter,Classifier,Tr_crIns,Tr_crIns%,Tr_incrIns,Tr_incrIns%,Tr_Kappa,Tr_meanAbs,Tr_rootMeanSq,Tr_relAbs,Tr_rootRelSq,Tr_NumIns,Tr_WA_TP,Tr_WA_FP,Tr_WA_Acc,Tr_WA_Recall,Tr_WA_F_M,Tr_WA_MCC,Tr_WA_ROC,Tr_WA_PRC,Te_crIns,Te_crIns%,Te_incrIns,Te_incrIns%,Te_Kappa,Te_meanAbs,Te_rootMeanSq,Te_relAbs,Te_rootRelSq,Te_NumIns,Te_WA_TP,Te_WA_FP,Te_WA_Acc,Te_WA_Recall,Te_WA_F_M,Te_WA_MCC,Te_WA_ROC,Te_WA_PRC,carToRetainWithClass
2022-6-17/14:51:30,isolet,regular,1,9,0,0,CFS,SVM,4144,99.66,14,0.34,1,0.07,0.19,96.01,96.64,4158,1,0,1,1,1,1,1,1,1967,94.61,112,5.39,0.94,0.07,0.19,96.02,96.65,2079,0.95,0,0.95,0.95,0.95,0.94,1,0.93,178
2022-6-17/14:55:30,isolet,regular,1,9,0,RUS,None,IB1,3770,100,0,0,1,0,0,0.68,0.68,3770,1,0,1,1,1,1,1,1,1787,85.95,292,14.05,0.85,0.01,0.1,15.19,53.87,2079,0.86,0.01,0.86,0.86,0.86,0.85,0.93,0.76,618
2022-6-17/14:57:17,isolet,regular,1,9,0,RUS,None,SVM,3770,100,0,0,1,0.07,0.19,96,96.65,3770,1,0,1,1,1,1,1,1,1990,95.72,89,4.28,0.96,0.07,0.19,96.02,96.67,2079,0.96,0,0.96,0.96,0.96,0.96,1,0.94,618
2022-6-17/14:58:37,isolet,regular,1,9,0,RUS,CFS,IB1,3770,100,0,0,1,0,0,0.68,0.68,3770,1,0,1,1,1,1,1,1,1812,87.16,267,12.84,0.87,0.01,0.1,13.95,51.51,2079,0.87,0.01,0.87,0.87,0.87,0.87,0.93,0.78,174
2022-6-17/14:59:9,isolet,regular,1,9,0,RUS,CFS,SVM,3756,99.63,14,0.37,1,0.07,0.19,96,96.64,3770,1,0,1,1,1,1,1,1,1953,93.94,126,6.06,0.94,0.07,0.19,96.03,96.67,2079,0.94,0,0.94,0.94,0.94,0.94,1,0.92,174
2022-6-17/15:3:32,isolet,regular,1,9,Auto,RUS2,None,IB1,4158,100,0,0,1,0,0,0.62,0.62,4158,1,0,1,1,1,1,1,1,1796,86.39,283,13.61,0.86,0.01,0.1,14.69,53.04,2079,0.86,0.01,0.87,0.86,0.86,0.86,0.93,0.77,618
2022-6-17/15:5:19,isolet,regular,1,9,Auto,RUS2,None,SVM,4158,100,0,0,1,0.07,0.19,96.01,96.64,4158,1,0,1,1,1,1,1,1,1991,95.77,88,4.23,0.96,0.07,0.19,96.01,96.65,2079,0.96,0,0.96,0.96,0.96,0.96,1,0.94,618
2022-6-17/15:6:46,isolet,regular,1,9,Auto,RUS2,CFS,IB1,4158,100,0,0,1,0,0,0.62,0.62,4158,1,0,1,1,1,1,1,1,1828,87.93,251,12.07,0.87,0.01,0.1,13.1,49.95,2079,0.88,0.01,0.88,0.88,0.88,0.88,0.94,0.79,178
2022-6-17/15:7:19,isolet,regular,1,9,Auto,RUS2,CFS,SVM,4144,99.66,14,0.34,1,0.07,0.19,96.01,96.64,4158,1,0,1,1,1,1,1,1,1966,94.56,113,5.44,0.94,0.07,0.19,96.02,96.65,2079,0.95,0,0.95,0.95,0.95,0.94,1,0.93,178
2022-6-17/15:11:44,isolet,regular,1,9,100,0,None,IB1,4303,100,0,0,1,0,0,0.6,0.6,4303,1,0,1,1,1,1,1,1,1797,86.44,282,13.56,0.86,0.01,0.1,14.62,52.94,2079,0.86,0.01,0.87,0.86,0.86,0.86,0.93,0.77,618
2022-6-17/15:13:31,isolet,regular,1,9,100,0,None,SVM,4303,100,0,0,1,0.07,0.19,96.09,96.69,4303,1,0,1,1,1,1,1,1,1990,95.72,89,4.28,0.96,0.07,0.19,96.04,96.63,2079,0.96,0,0.96,0.96,0.96,0.96,1,0.94,618
2022-6-17/15:14:55,isolet,regular,1,9,100,0,CFS,IB1,4303,100,0,0,1,0,0,0.6,0.6,4303,1,0,1,1,1,1,1,1,1827,87.88,252,12.12,0.87,0.01,0.1,13.13,50.05,2079,0.88,0.01,0.88,0.88,0.88,0.88,0.94,0.79,171
2022-6-17/15:15:27,isolet,regular,1,9,100,0,CFS,SVM,4284,99.56,19,0.44,1,0.07,0.19,96.09,96.68,4303,1,0,1,1,1,1,1,0.99,1960,94.28,119,5.72,0.94,0.07,0.19,96.04,96.63,2079,0.94,0,0.94,0.94,0.94,0.94,1,0.92,171
2022-6-17/15:19:42,isolet,regular,1,9,100,RUS,None,IB1,3925,100,0,0,1,0,0,0.66,0.66,3925,1,0,1,1,1,1,1,1,1793,86.24,286,13.76,0.86,0.01,0.1,14.87,53.32,2079,0.86,0.01,0.87,0.86,0.86,0.86,0.93,0.76,618
2022-6-17/15:21:29,isolet,regular,1,9,100,RUS,None,SVM,3925,100,0,0,1,0.07,0.19,96,96.65,3925,1,0,1,1,1,1,1,1,1989,95.67,90,4.33,0.95,0.07,0.19,96.02,96.67,2079,0.96,0,0.96,0.96,0.96,0.95,1,0.94,618
2022-6-17/15:22:49,isolet,regular,1,9,100,RUS,CFS,IB1,3925,100,0,0,1,0,0,0.66,0.66,3925,1,0,1,1,1,1,1,1,1826,87.83,253,12.17,0.87,0.01,0.1,13.23,50.15,2079,0.88,0.01,0.88,0.88,0.88,0.87,0.94,0.79,172
2022-6-17/15:23:21,isolet,regular,1,9,100,RUS,CFS,SVM,3904,99.47,21,0.54,0.99,0.07,0.19,96,96.64,3925,1,0,1,1,1,0.99,1,0.99,1970,94.76,109,5.24,0.95,0.07,0.19,96.03,96.67,2079,0.95,0,0.95,0.95,0.95,0.94,1,0.93,172
2022-6-17/15:27:55,isolet,regular,1,9,100,40,None,IB1,4372,100,0,0,1,0,0,0.59,0.59,4372,1,0,1,1,1,1,1,1,1797,86.44,282,13.56,0.86,0.01,0.1,14.61,52.93,2079,0.86,0.01,0.87,0.86,0.86,0.86,0.93,0.77,618
2022-6-17/15:29:42,isolet,regular,1,9,100,40,None,SVM,4372,100,0,0,1,0.07,0.19,96.12,96.7,4372,1,0,1,1,1,1,1,1,1990,95.72,89,4.28,0.96,0.07,0.19,96.03,96.61,2079,0.96,0,0.96,0.96,0.96,0.96,1,0.94,618
2022-6-17/15:31:13,isolet,regular,1,9,100,40,CFS,IB1,4372,100,0,0,1,0,0,0.59,0.59,4372,1,0,1,1,1,1,1,1,1828,87.93,251,12.07,0.87,0.01,0.1,13.07,49.94,2079,0.88,0.01,0.88,0.88,0.88,0.88,0.94,0.79,184
2022-6-17/15:31:47,isolet,regular,1,9,100,40,CFS,SVM,4361,99.75,11,0.25,1,0.07,0.19,96.12,96.7,4372,1,0,1,1,1,1,1,1,1968,94.66,111,5.34,0.94,0.07,0.19,96.03,96.61,2079,0.95,0,0.95,0.95,0.95,0.94,1,0.93,184
2022-6-17/15:40:8,isolet,regular,1,10,0,0,None,IB1,4158,100,0,0,1,0,0,0.62,0.62,4158,1,0,1,1,1,1,1,1,1796,86.39,283,13.61,0.86,0.01,0.1,14.69,53.04,2079,0.86,0.01,0.87,0.86,0.86,0.86,0.93,0.77,618
2022-6-17/15:41:54,isolet,regular,1,10,0,0,None,SVM,4158,100,0,0,1,0.07,0.19,96.01,96.65,4158,1,0,1,1,1,1,1,1,1987,95.57,92,4.43,0.95,0.07,0.19,96.01,96.65,2079,0.96,0,0.96,0.96,0.96,0.95,1,0.94,618
2022-6-17/15:43:15,isolet,regular,1,10,0,0,CFS,IB1,4158,100,0,0,1,0,0,0.62,0.62,4158,1,0,1,1,1,1,1,1,1838,88.41,241,11.59,0.88,0.01,0.09,12.6,48.95,2079,0.88,0.01,0.89,0.88,0.88,0.88,0.94,0.8,169
2022-6-17/15:43:47,isolet,regular,1,10,0,0,CFS,SVM,4142,99.62,16,0.38,1,0.07,0.19,96.01,96.64,4158,1,0,1,1,1,1,1,0.99,1965,94.52,114,5.48,0.94,0.07,0.19,96.01,96.65,2079,0.94,0,0.95,0.94,0.94,0.94,1,0.92,169
2022-6-17/15:47:51,isolet,regular,1,10,0,RUS,None,IB1,3848,100,0,0,1,0,0,0.67,0.67,3848,1,0,1,1,1,1,1,1,1786,85.91,293,14.09,0.85,0.01,0.1,15.23,53.96,2079,0.86,0.01,0.86,0.86,0.86,0.85,0.93,0.76,618
2022-6-17/15:49:38,isolet,regular,1,10,0,RUS,None,SVM,3848,100,0,0,1,0.07,0.19,96,96.64,3848,1,0,1,1,1,1,1,1,1986,95.53,93,4.47,0.95,0.07,0.19,96.02,96.67,2079,0.95,0,0.96,0.95,0.95,0.95,1,0.94,618
2022-6-17/15:50:56,isolet,regular,1,10,0,RUS,CFS,IB1,3848,100,0,0,1,0,0,0.67,0.67,3848,1,0,1,1,1,1,1,1,1845,88.74,234,11.26,0.88,0.01,0.09,12.3,48.23,2079,0.89,0,0.89,0.89,0.89,0.88,0.94,0.8,170
2022-6-17/15:51:28,isolet,regular,1,10,0,RUS,CFS,SVM,3837,99.71,11,0.29,1,0.07,0.19,96,96.64,3848,1,0,1,1,1,1,1,1,1960,94.28,119,5.72,0.94,0.07,0.19,96.03,96.67,2079,0.94,0,0.94,0.94,0.94,0.94,1,0.92,170
2022-6-17/15:55:51,isolet,regular,1,10,Auto,RUS2,None,IB1,4158,100,0,0,1,0,0,0.62,0.62,4158,1,0,1,1,1,1,1,1,1796,86.39,283,13.61,0.86,0.01,0.1,14.69,53.04,2079,0.86,0.01,0.87,0.86,0.86,0.86,0.93,0.77,618
2022-6-17/15:57:38,isolet,regular,1,10,Auto,RUS2,None,SVM,4158,100,0,0,1,0.07,0.19,96.01,96.65,4158,1,0,1,1,1,1,1,1,1987,95.57,92,4.43,0.95,0.07,0.19,96.01,96.65,2079,0.96,0,0.96,0.96,0.96,0.95,1,0.94,618
2022-6-17/15:59:1,isolet,regular,1,10,Auto,RUS2,CFS,IB1,4158,100,0,0,1,0,0,0.62,0.62,4158,1,0,1,1,1,1,1,1,1838,88.41,241,11.59,0.88,0.01,0.09,12.6,48.95,2079,0.88,0.01,0.89,0.88,0.88,0.88,0.94,0.8,169
2022-6-17/15:59:32,isolet,regular,1,10,Auto,RUS2,CFS,SVM,4142,99.62,16,0.38,1,0.07,0.19,96.01,96.64,4158,1,0,1,1,1,1,1,0.99,1966,94.56,113,5.44,0.94,0.07,0.19,96.01,96.65,2079,0.95,0,0.95,0.95,0.95,0.94,1,0.92,169
2022-6-17/16:3:58,isolet,regular,1,10,100,0,None,IB1,4306,100,0,0,1,0,0,0.6,0.6,4306,1,0,1,1,1,1,1,1,1793,86.24,286,13.76,0.86,0.01,0.1,14.82,53.31,2079,0.86,0.01,0.87,0.86,0.86,0.86,0.93,0.76,618
2022-6-17/16:5:45,isolet,regular,1,10,100,0,None,SVM,4306,100,0,0,1,0.07,0.19,96.1,96.69,4306,1,0,1,1,1,1,1,1,1986,95.53,93,4.47,0.95,0.07,0.19,96.02,96.62,2079,0.95,0,0.96,0.95,0.95,0.95,1,0.94,618
2022-6-17/16:7:13,isolet,regular,1,10,100,0,CFS,IB1,4306,100,0,0,1,0,0,0.6,0.6,4306,1,0,1,1,1,1,1,1,1824,87.73,255,12.27,0.87,0.01,0.1,13.28,50.34,2079,0.88,0.01,0.88,0.88,0.88,0.87,0.94,0.79,180
2022-6-17/16:7:47,isolet,regular,1,10,100,0,CFS,SVM,4295,99.74,11,0.26,1,0.07,0.19,96.1,96.69,4306,1,0,1,1,1,1,1,1,1969,94.71,110,5.29,0.94,0.07,0.19,96.03,96.62,2079,0.95,0,0.95,0.95,0.95,0.94,1,0.93,180
2022-6-17/16:11:56,isolet,regular,1,10,100,RUS,None,IB1,3847,100,0,0,1,0,0,0.67,0.67,3847,1,0,1,1,1,1,1,1,1788,86,291,14,0.85,0.01,0.1,15.13,53.78,2079,0.86,0.01,0.86,0.86,0.86,0.86,0.93,0.76,618
2022-6-17/16:13:42,isolet,regular,1,10,100,RUS,None,SVM,3847,100,0,0,1,0.07,0.19,96,96.64,3847,1,0,1,1,1,1,1,1,1982,95.33,97,4.67,0.95,0.07,0.19,96.02,96.67,2079,0.95,0,0.95,0.95,0.95,0.95,1,0.94,618
2022-6-17/16:15:0,isolet,regular,1,10,100,RUS,CFS,IB1,3847,100,0,0,1,0,0,0.67,0.67,3847,1,0,1,1,1,1,1,1,1813,87.21,266,12.79,0.87,0.01,0.1,13.89,51.42,2079,0.87,0.01,0.87,0.87,0.87,0.87,0.93,0.78,168
2022-6-17/16:15:31,isolet,regular,1,10,100,RUS,CFS,SVM,3837,99.74,10,0.26,1,0.07,0.19,96,96.64,3847,1,0,1,1,1,1,1,1,1955,94.04,124,5.96,0.94,0.07,0.19,96.03,96.67,2079,0.94,0,0.94,0.94,0.94,0.94,1,0.92,168
2022-6-17/16:20:4,isolet,regular,1,10,100,40,None,IB1,4374,100,0,0,1,0,0,0.59,0.59,4374,1,0,1,1,1,1,1,1,1790,86.1,289,13.9,0.86,0.01,0.1,14.96,53.58,2079,0.86,0.01,0.87,0.86,0.86,0.86,0.93,0.76,618
2022-6-17/16:21:52,isolet,regular,1,10,100,40,None,SVM,4374,100,0,0,1,0.07,0.19,96.13,96.71,4374,1,0,1,1,1,1,1,1,1983,95.38,96,4.62,0.95,0.07,0.19,96.02,96.6,2079,0.95,0,0.95,0.95,0.95,0.95,1,0.94,618
2022-6-17/16:23:13,isolet,regular,1,10,100,40,CFS,IB1,4374,100,0,0,1,0,0,0.59,0.59,4374,1,0,1,1,1,1,1,1,1845,88.74,234,11.26,0.88,0.01,0.09,12.23,48.21,2079,0.89,0,0.89,0.89,0.89,0.88,0.94,0.8,165
2022-6-17/16:23:44,isolet,regular,1,10,100,40,CFS,SVM,4355,99.57,19,0.43,1,0.07,0.19,96.13,96.7,4374,1,0,1,1,1,1,1,0.99,1968,94.66,111,5.34,0.94,0.07,0.19,96.02,96.6,2079,0.95,0,0.95,0.95,0.95,0.94,1,0.93,165
2022-6-17/16:24:26,spambase,regular,2,1,0,0,None,IB1,3064,99.93,2,0.07,1,0,0.02,0.2,3.71,3066,1,0,1,1,1,1,1,1,1366,89.05,168,10.95,0.77,0.11,0.33,22.92,67.32,1534,0.89,0.11,0.89,0.89,0.89,0.77,0.9,0.86,58
2022-6-17/16:24:27,spambase,regular,2,1,0,0,None,SVM,2762,90.08,304,9.92,0.79,0.1,0.31,20.88,64.62,3066,0.9,0.13,0.9,0.9,0.9,0.79,0.89,0.86,1385,90.29,149,9.71,0.79,0.1,0.31,20.28,63.42,1534,0.9,0.12,0.91,0.9,0.9,0.8,0.89,0.86,58
2022-6-17/16:24:36,spambase,regular,2,1,0,0,CFS,IB1,3057,99.71,9,0.29,0.99,0,0.05,1,9.68,3066,1,0.01,1,1,1,0.99,1,1,1381,90.03,153,9.97,0.79,0.1,0.31,20.93,63.84,1534,0.9,0.11,0.9,0.9,0.9,0.79,0.9,0.87,17
2022-6-17/16:24:37,spambase,regular,2,1,0,0,CFS,SVM,2652,86.5,414,13.5,0.7,0.14,0.37,28.44,75.42,3066,0.86,0.19,0.87,0.86,0.86,0.71,0.84,0.81,1318,85.92,216,14.08,0.7,0.14,0.38,29.4,76.35,1534,0.86,0.19,0.87,0.86,0.86,0.71,0.84,0.8,17
2022-6-17/16:24:56,spambase,regular,2,1,0,RUS,None,IB1,2379,99.96,1,0.04,1,0,0.01,0.16,2.9,2380,1,0,1,1,1,1,1,1,1347,87.81,187,12.19,0.75,0.12,0.35,24.44,69.8,1534,0.88,0.12,0.88,0.88,0.88,0.75,0.88,0.84,58
2022-6-17/16:24:57,spambase,regular,2,1,0,RUS,None,SVM,2159,90.71,221,9.29,0.81,0.09,0.3,18.57,60.94,2380,0.91,0.09,0.91,0.91,0.91,0.81,0.91,0.87,1408,91.79,126,8.21,0.83,0.08,0.29,16.43,57.32,1534,0.92,0.09,0.92,0.92,0.92,0.83,0.91,0.88,58
2022-6-17/16:25:5,spambase,regular,2,1,0,RUS,CFS,IB1,2372,99.66,8,0.34,0.99,0.01,0.05,1.08,10.04,2380,1,0,1,1,1,0.99,1,1,1364,88.92,170,11.08,0.77,0.11,0.33,22.39,66.2,1534,0.89,0.11,0.89,0.89,0.89,0.77,0.9,0.86,17
2022-6-17/16:25:6,spambase,regular,2,1,0,RUS,CFS,SVM,2071,87.02,309,12.98,0.74,0.13,0.36,25.97,72.06,2380,0.87,0.13,0.88,0.87,0.87,0.75,0.87,0.82,1370,89.31,164,10.69,0.78,0.11,0.33,21.38,65.39,1534,0.89,0.13,0.89,0.89,0.89,0.78,0.88,0.85,17
2022-6-17/16:25:28,spambase,regular,2,1,Auto,RUS2,None,IB1,3064,99.93,2,0.07,1,0,0.02,0.2,3.71,3066,1,0,1,1,1,1,1,1,1366,89.05,168,10.95,0.77,0.11,0.33,22.92,67.32,1534,0.89,0.11,0.89,0.89,0.89,0.77,0.9,0.86,58
2022-6-17/16:25:29,spambase,regular,2,1,Auto,RUS2,None,SVM,2761,90.05,305,9.95,0.79,0.1,0.32,20.95,64.73,3066,0.9,0.13,0.9,0.9,0.9,0.79,0.89,0.86,1385,90.29,149,9.71,0.79,0.1,0.31,20.28,63.42,1534,0.9,0.12,0.91,0.9,0.9,0.8,0.89,0.86,58
2022-6-17/16:25:38,spambase,regular,2,1,Auto,RUS2,CFS,IB1,3057,99.71,9,0.29,0.99,0,0.05,1,9.68,3066,1,0.01,1,1,1,0.99,1,1,1381,90.03,153,9.97,0.79,0.1,0.31,20.93,63.84,1534,0.9,0.11,0.9,0.9,0.9,0.79,0.9,0.87,17
2022-6-17/16:25:39,spambase,regular,2,1,Auto,RUS2,CFS,SVM,2651,86.46,415,13.54,0.7,0.14,0.37,28.51,75.51,3066,0.86,0.19,0.87,0.86,0.86,0.71,0.84,0.81,1318,85.92,216,14.08,0.7,0.14,0.38,29.4,76.35,1534,0.86,0.19,0.87,0.86,0.86,0.71,0.84,0.8,17
2022-6-17/16:26:11,spambase,regular,2,1,100,0,None,IB1,4254,99.95,2,0.05,1,0,0.02,0.14,3.09,4256,1,0,1,1,1,1,1,1,1364,88.92,170,11.08,0.77,0.11,0.33,21.72,64.71,1534,0.89,0.11,0.89,0.89,0.89,0.78,0.9,0.86,58
2022-6-17/16:26:12,spambase,regular,2,1,100,0,None,SVM,3890,91.4,366,8.6,0.83,0.09,0.29,17.44,59.06,4256,0.91,0.08,0.92,0.91,0.91,0.83,0.92,0.88,1408,91.79,126,8.21,0.83,0.08,0.29,16.07,55.72,1534,0.92,0.09,0.92,0.92,0.92,0.83,0.91,0.88,58
2022-6-17/16:26:22,spambase,regular,2,1,100,0,CFS,IB1,4246,99.77,10,0.23,1,0,0.04,0.76,8.48,4256,1,0,1,1,1,1,1,1,1379,89.9,155,10.1,0.79,0.1,0.32,19.84,61.36,1534,0.9,0.1,0.9,0.9,0.9,0.79,0.91,0.87,18
2022-6-17/16:26:23,spambase,regular,2,1,100,0,CFS,SVM,3744,87.97,512,12.03,0.76,0.12,0.35,24.4,69.86,4256,0.88,0.11,0.88,0.88,0.88,0.76,0.88,0.84,1363,88.85,171,11.15,0.77,0.11,0.33,21.81,64.91,1534,0.89,0.13,0.89,0.89,0.89,0.77,0.88,0.84,18
2022-6-17/16:26:54,spambase,regular,2,1,100,RUS,None,IB1,3752,99.97,1,0.03,1,0,0.01,0.1,2.31,3753,1,0,1,1,1,1,1,1,1373,89.5,161,10.5,0.78,0.11,0.32,21.03,64.78,1534,0.9,0.11,0.9,0.9,0.9,0.79,0.9,0.86,58
2022-6-17/16:26:55,spambase,regular,2,1,100,RUS,None,SVM,3423,91.21,330,8.79,0.82,0.09,0.3,17.59,59.31,3753,0.91,0.09,0.91,0.91,0.91,0.83,0.91,0.88,1404,91.53,130,8.47,0.82,0.08,0.29,16.95,58.23,1534,0.92,0.1,0.92,0.92,0.92,0.82,0.91,0.88,58
2022-6-17/16:27:5,spambase,regular,2,1,100,RUS,CFS,IB1,3746,99.81,7,0.19,1,0,0.04,0.61,7.47,3753,1,0,1,1,1,1,1,1,1379,89.9,155,10.1,0.79,0.1,0.32,20.39,63.57,1534,0.9,0.1,0.9,0.9,0.9,0.79,0.9,0.87,19
2022-6-17/16:27:6,spambase,regular,2,1,100,RUS,CFS,SVM,3286,87.56,467,12.44,0.75,0.12,0.35,24.89,70.55,3753,0.88,0.12,0.88,0.88,0.88,0.76,0.88,0.83,1350,88.01,184,11.99,0.75,0.12,0.35,23.99,69.27,1534,0.88,0.15,0.88,0.88,0.88,0.75,0.87,0.83,19
2022-6-17/16:27:51,spambase,regular,2,1,100,40,None,IB1,5004,99.96,2,0.04,1,0,0.01,0.12,2.83,5006,1,0,1,1,1,1,1,1,1370,89.31,164,10.69,0.78,0.11,0.33,21.61,65.92,1534,0.89,0.11,0.9,0.89,0.89,0.78,0.9,0.86,58
2022-6-17/16:27:53,spambase,regular,2,1,100,40,None,SVM,4585,91.59,421,8.41,0.83,0.08,0.29,16.86,58.07,5006,0.92,0.09,0.92,0.92,0.92,0.83,0.91,0.88,1407,91.72,127,8.28,0.83,0.08,0.29,16.71,58.02,1534,0.92,0.1,0.92,0.92,0.92,0.83,0.91,0.88,58
2022-6-17/16:28:4,spambase,regular,2,1,100,40,CFS,IB1,4992,99.72,14,0.28,0.99,0,0.05,0.93,9.45,5006,1,0,1,1,1,0.99,1,1,1400,91.26,134,8.74,0.82,0.09,0.3,17.93,59.56,1534,0.91,0.09,0.91,0.91,0.91,0.82,0.92,0.89,18
2022-6-17/16:28:5,spambase,regular,2,1,100,40,CFS,SVM,4377,87.44,629,12.56,0.75,0.13,0.35,25.19,70.98,5006,0.87,0.13,0.88,0.87,0.87,0.75,0.87,0.83,1333,86.9,201,13.1,0.72,0.13,0.36,26.45,72.99,1534,0.87,0.17,0.87,0.87,0.87,0.73,0.85,0.81,18
2022-6-17/16:28:47,spambase,regular,2,2,0,0,None,IB1,3063,99.9,3,0.1,1,0,0.02,0.27,4.54,3066,1,0,1,1,1,1,1,1,1372,89.44,162,10.56,0.78,0.11,0.32,22.11,66.19,1534,0.89,0.12,0.89,0.89,0.89,0.78,0.9,0.86,58
2022-6-17/16:28:48,spambase,regular,2,2,0,0,None,SVM,2771,90.38,295,9.62,0.79,0.1,0.31,20.24,63.62,3066,0.9,0.12,0.91,0.9,0.9,0.8,0.89,0.86,1376,89.7,158,10.3,0.78,0.1,0.32,21.52,65.39,1534,0.9,0.13,0.9,0.9,0.9,0.79,0.88,0.85,58
2022-6-17/16:28:57,spambase,regular,2,2,0,0,CFS,IB1,3059,99.77,7,0.23,1,0,0.04,0.69,7.91,3066,1,0,1,1,1,1,1,1,1411,91.98,123,8.02,0.83,0.08,0.28,16.94,57.67,1534,0.92,0.09,0.92,0.92,0.92,0.83,0.92,0.89,18
2022-6-17/16:28:58,spambase,regular,2,2,0,0,CFS,SVM,2644,86.24,422,13.76,0.7,0.14,0.37,28.95,76.09,3066,0.86,0.19,0.87,0.86,0.86,0.71,0.84,0.81,1327,86.51,207,13.49,0.71,0.13,0.37,28.19,74.84,1534,0.86,0.18,0.87,0.86,0.86,0.72,0.84,0.81,18
2022-6-17/16:29:17,spambase,regular,2,2,0,RUS,None,IB1,2386,99.92,2,0.08,1,0,0.02,0.25,4.09,2388,1,0,1,1,1,1,1,1,1342,87.48,192,12.52,0.74,0.13,0.35,25.09,70.73,1534,0.88,0.12,0.88,0.88,0.88,0.74,0.88,0.84,58
2022-6-17/16:29:18,spambase,regular,2,2,0,RUS,None,SVM,2158,90.37,230,9.63,0.81,0.1,0.31,19.26,62.07,2388,0.9,0.1,0.91,0.9,0.9,0.81,0.9,0.86,1390,90.61,144,9.39,0.8,0.09,0.31,18.77,61.28,1534,0.91,0.11,0.91,0.91,0.91,0.8,0.9,0.87,58
2022-6-17/16:29:26,spambase,regular,2,2,0,RUS,CFS,IB1,2382,99.75,6,0.25,1,0,0.04,0.7,7.89,2388,1,0,1,1,1,1,1,1,1402,91.39,132,8.61,0.82,0.09,0.29,17.53,58.67,1534,0.91,0.08,0.92,0.91,0.91,0.82,0.92,0.89,19
2022-6-17/16:29:26,spambase,regular,2,2,0,RUS,CFS,SVM,2041,85.47,347,14.53,0.71,0.15,0.38,29.06,76.24,2388,0.85,0.14,0.86,0.85,0.85,0.71,0.85,0.81,1345,87.68,189,12.32,0.74,0.12,0.35,24.64,70.2,1534,0.88,0.15,0.88,0.88,0.88,0.74,0.86,0.83,19
2022-6-17/16:29:49,spambase,regular,2,2,Auto,RUS2,None,IB1,3063,99.9,3,0.1,1,0,0.02,0.27,4.54,3066,1,0,1,1,1,1,1,1,1373,89.5,161,10.5,0.78,0.11,0.32,21.98,65.99,1534,0.9,0.12,0.9,0.9,0.9,0.78,0.9,0.86,58
2022-6-17/16:29:50,spambase,regular,2,2,Auto,RUS2,None,SVM,2775,90.51,291,9.49,0.8,0.09,0.31,19.96,63.19,3066,0.91,0.12,0.91,0.91,0.9,0.8,0.89,0.86,1377,89.77,157,10.23,0.78,0.1,0.32,21.38,65.18,1534,0.9,0.13,0.9,0.9,0.9,0.79,0.88,0.85,58
2022-6-17/16:29:59,spambase,regular,2,2,Auto,RUS2,CFS,IB1,3059,99.77,7,0.23,1,0,0.04,0.69,7.91,3066,1,0,1,1,1,1,1,1,1413,92.11,121,7.89,0.84,0.08,0.28,16.67,57.2,1534,0.92,0.09,0.92,0.92,0.92,0.84,0.92,0.9,18
2022-6-17/16:29:60,spambase,regular,2,2,Auto,RUS2,CFS,SVM,2644,86.24,422,13.76,0.7,0.14,0.37,28.95,76.09,3066,0.86,0.19,0.87,0.86,0.86,0.71,0.84,0.81,1327,86.51,207,13.49,0.71,0.13,0.37,28.19,74.84,1534,0.86,0.18,0.87,0.86,0.86,0.72,0.84,0.81,18
2022-6-17/16:30:32,spambase,regular,2,2,100,0,None,IB1,4257,99.93,3,0.07,1,0,0.02,0.19,3.78,4260,1,0,1,1,1,1,1,1,1375,89.63,159,10.37,0.79,0.1,0.32,20.29,62.49,1534,0.9,0.1,0.9,0.9,0.9,0.79,0.9,0.87,58
2022-6-17/16:30:33,spambase,regular,2,2,100,0,None,SVM,3899,91.53,361,8.47,0.83,0.08,0.29,17.2,58.65,4260,0.92,0.08,0.92,0.92,0.92,0.83,0.92,0.88,1404,91.53,130,8.47,0.82,0.08,0.29,16.56,56.52,1534,0.92,0.1,0.92,0.92,0.92,0.82,0.91,0.88,58
2022-6-17/16:30:43,spambase,regular,2,2,100,0,CFS,IB1,4254,99.86,6,0.14,1,0,0.03,0.38,5.76,4260,1,0,1,1,1,1,1,1,1402,91.39,132,8.61,0.82,0.09,0.29,16.91,56.92,1534,0.91,0.09,0.92,0.91,0.91,0.82,0.92,0.89,18
2022-6-17/16:30:44,spambase,regular,2,2,100,0,CFS,SVM,3781,88.76,479,11.24,0.77,0.11,0.34,22.82,67.56,4260,0.89,0.11,0.89,0.89,0.89,0.78,0.89,0.85,1365,88.98,169,11.02,0.77,0.11,0.33,21.53,64.44,1534,0.89,0.13,0.89,0.89,0.89,0.77,0.88,0.84,18
2022-6-17/16:31:15,spambase,regular,2,2,100,RUS,None,IB1,3742,99.92,3,0.08,1,0,0.02,0.21,4,3745,1,0,1,1,1,1,1,1,1370,89.31,164,10.69,0.78,0.11,0.33,21.42,65.38,1534,0.89,0.11,0.89,0.89,0.89,0.78,0.9,0.86,58
