Time,Dataset,Repetition,SmoteMin,SmoteMax,RUS,Filter,Classifier,Tr_crIns,Tr_crIns%,Tr_incrIns,Tr_incrIns%,Tr_Kappa,Tr_meanAbs,Tr_rootMeanSq,Tr_relAbs,Tr_rootRelSq,Tr_NumIns,Tr_WA_TP,Tr_WA_FP,Tr_WA_Acc,Tr_WA_Recall,Tr_WA_F_M,Tr_WA_MCC,Tr_WA_ROC,Tr_WA_PRC,Te_crIns,Te_crIns%,Te_incrIns,Te_incrIns%,Te_Kappa,Te_meanAbs,Te_rootMeanSq,Te_relAbs,Te_rootRelSq,Te_NumIns,Te_WA_TP,Te_WA_FP,Te_WA_Acc,Te_WA_Recall,Te_WA_F_M,Te_WA_MCC,Te_WA_ROC,Te_WA_PRC,carToRetainWithClass
2020-9-29/11:49:17,brain_tumor1,1,Auto,20,0,CFS,IB1,111,100,0,0,1,0.01,0.02,5.49,4.9,111,1,0,1,1,1,1,1,1,25,83.33,5,16.67,0.71,0.08,0.25,27.18,63.61,30,0.83,0.06,NaN,0.83,NaN,NaN,0.89,0.83,227
2020-9-29/11:49:16,brain_tumor1,1,Auto,20,0,CFS,Naive-Bayes,111,100,0,0,1,0,0,0,0,111,1,0,1,1,1,1,1,1,29,96.67,1,3.33,0.94,0.01,0.12,4.67,29.01,30,0.97,0.06,NaN,0.97,NaN,NaN,0.97,0.97,227
2020-9-29/11:49:19,brain_tumor1,1,Auto,20,0,CFS,SVM,111,100,0,0,1,0.24,0.32,95.59,89.77,111,1,0,1,1,1,1,1,1,29,96.67,1,3.33,0.94,0.24,0.32,84.56,79.99,30,0.97,0.06,NaN,0.97,NaN,NaN,0.96,0.94,227
2020-9-29/11:38:20,brain_tumor1,1,Auto,20,0,None,C4.5,110,99.1,1,0.9,0.99,0.01,0.06,2.81,16.87,111,0.99,0.01,0.99,0.99,0.99,0.99,0.99,0.98,25,83.33,5,16.67,0.65,0.07,0.26,25.07,64.28,30,0.83,0.23,NaN,0.83,NaN,NaN,0.81,0.75,5921
2020-9-29/11:38:47,brain_tumor1,1,Auto,20,0,None,IB1,111,100,0,0,1,0.01,0.02,5.49,4.9,111,1,0,1,1,1,1,1,1,27,90,3,10,0.8,0.05,0.2,18.24,49.35,30,0.9,0.17,NaN,0.9,NaN,NaN,0.86,0.83,5921
2020-9-29/11:38:45,brain_tumor1,1,Auto,20,0,None,Naive-Bayes,111,100,0,0,1,0,0,0,0,111,1,0,1,1,1,1,1,1,27,90,3,10,0.8,0.04,0.2,14.02,50.25,30,0.9,0.17,NaN,0.9,NaN,NaN,0.86,0.83,5921
2020-9-29/11:39:17,brain_tumor1,1,Auto,20,0,None,SVM,111,100,0,0,1,0.24,0.32,95.59,89.72,111,1,0,1,1,1,1,1,1,28,93.33,2,6.67,0.87,0.24,0.32,85.03,80.51,30,0.93,0.12,NaN,0.93,NaN,NaN,0.93,0.91,5921
2020-9-29/12:1:16,brain_tumor1,1,Auto,40,0,CFS,C4.5,126,99.21,1,0.79,0.99,0.01,0.06,2.52,15.97,127,0.99,0.01,0.99,0.99,0.99,0.99,0.99,0.98,22,73.33,8,26.67,0.46,0.11,0.32,38.88,81.2,30,0.73,0.3,0.74,0.73,0.72,0.48,0.72,0.64,243
2020-9-29/12:1:19,brain_tumor1,1,Auto,40,0,CFS,IB1,127,100,0,0,1,0.01,0.02,4.94,4.35,127,1,0,1,1,1,1,1,1,27,90,3,10,0.8,0.05,0.2,17.82,49.23,30,0.9,0.12,NaN,0.9,NaN,NaN,0.89,0.82,243
2020-9-29/12:1:18,brain_tumor1,1,Auto,40,0,CFS,Naive-Bayes,127,100,0,0,1,0,0,0,0,127,1,0,1,1,1,1,1,1,28,93.33,2,6.67,0.87,0.03,0.16,9.39,40.85,30,0.93,0.12,NaN,0.93,NaN,NaN,0.94,0.92,243
2020-9-29/12:1:21,brain_tumor1,1,Auto,40,0,CFS,SVM,127,100,0,0,1,0.24,0.32,97.75,90.78,127,1,0,1,1,1,1,1,1,29,96.67,1,3.33,0.94,0.24,0.32,84.99,79.64,30,0.97,0.06,NaN,0.97,NaN,NaN,0.96,0.94,243
